.thisRepN	.thisTrialN	.thisN	.thisIndex	Block	Break_pass	Tr	part	rule	Switch_pass	Grating	Resp	RT	corr	FB	points	jump_detect	Session	ppnr	Name	
0	-1	-1	0	0	1	0	0	0	0	0.0	j	0.598940744763	0	0	0	0	0	8	Marie	
0	-1	-1	0	0	2	1	0	0	1	1.0	j	0.383624169339	1	0	0	0	0	8	Marie	
0	-1	-1	0	0	3	2	0	0	2	0.0	j	0.275201092036	0	0	0	0	0	8	Marie	
0	-1	-1	0	0	4	3	0	0	3	0.0	f	0.275606178742	1	1	10	0	0	8	Marie	
0	-1	-1	0	0	5	4	0	0	4	0.0	f	0.380013028203	1	0	10	0	0	8	Marie	
0	-1	-1	0	0	6	5	0	0	5	0.0	j	0.774765375254	0	0	10	2	0	8	Marie	
0	-1	-1	0	0	7	6	0	0	6	1.0	j	0.507587758362	1	1	20	0	0	8	Marie	
0	-1	-1	0	0	8	7	0	0	7	0.0	f	0.2740057174	1	1	30	0	0	8	Marie	
0	-1	-1	0	0	9	8	0	0	8	0.0	j	0.410370155598	0	0	30	0	0	8	Marie	
0	-1	-1	0	0	10	9	0	0	9	1.0	j	0.318389493277	1	1	40	0	0	8	Marie	
0	-1	-1	0	0	11	10	0	0	10	1.0	f	0.431988250883	0	0	40	0	0	8	Marie	
0	-1	-1	0	0	12	11	0	0	11	0.0	f	0.364377258567	1	1	50	0	0	8	Marie	
0	-1	-1	0	0	13	12	0	0	12	1.0	j	0.470802164697	1	1	60	0	0	8	Marie	
0	-1	-1	0	0	14	13	0	0	13	1.0	j	0.484357013853	1	1	70	0	0	8	Marie	
0	-1	-1	0	0	15	14	0	0	14	1.0	j	0.585941406436	1	1	80	0	0	8	Marie	
0	-1	-1	0	0	16	15	0	0	15	1.0	f	0.482332542511	0	0	80	0	0	8	Marie	
0	-1	-1	0	0	17	16	0	0	16	1.0	j	0.335533994408	1	1	90	0	0	8	Marie	
0	-1	-1	0	0	18	17	0	0	17	0.0	f	0.457558106529	1	1	100	0	0	8	Marie	
0	-1	-1	0	0	19	18	0	0	18	0.0	f	0.502737302071	1	1	110	0	0	8	Marie	
0	-1	-1	0	0	20	19	1	1	0	1.0	j	0.340718334519	0	0	110	1	0	8	Marie	
0	-1	-1	0	0	21	20	1	1	1	1.0	f	0.518704389659	1	1	120	0	0	8	Marie	
0	-1	-1	0	0	22	21	1	1	2	0.0	j	0.389522783482	1	1	130	0	0	8	Marie	
0	-1	-1	0	0	23	22	1	1	3	1.0	f	0.384706004232	1	1	140	0	0	8	Marie	
0	-1	-1	0	0	24	23	1	1	4	0.0	j	0.355898020785	1	1	150	0	0	8	Marie	
0	-1	-1	0	0	25	24	1	1	5	1.0	f	0.366396277435	1	1	160	0	0	8	Marie	
0	-1	-1	0	0	26	25	1	1	6	1.0	f	0.473094769442	1	0	160	3	0	8	Marie	
0	-1	-1	0	0	27	26	1	1	7	1.0	j	0.414297860931	0	0	160	0	0	8	Marie	
0	-1	-1	0	0	28	27	1	1	8	0.0	j	0.466302591112	1	1	170	0	0	8	Marie	
0	-1	-1	0	0	29	28	1	1	9	0.0	j	0.447870344027	1	1	180	0	0	8	Marie	
0	-1	-1	0	0	30	29	1	1	10	1.0	f	0.35668830871	1	1	190	0	0	8	Marie	
0	-1	-1	0	0	31	30	1	1	11	1.0	j	0.327109602094	0	0	190	0	0	8	Marie	
0	-1	-1	0	0	32	31	1	1	12	0.0	j	0.320694927372	1	1	200	0	0	8	Marie	
0	-1	-1	0	0	33	32	1	1	13	0.0	j	0.378277217224	1	1	210	0	0	8	Marie	
0	-1	-1	0	0	34	33	1	1	14	0.0	j	0.461441550606	1	0	210	3	0	8	Marie	
0	-1	-1	0	0	35	34	1	1	15	0.0	f	0.362693406452	0	0	210	0	0	8	Marie	
0	-1	-1	0	0	36	35	2	0	0	0.0	j	0.677125366157	0	0	210	1	0	8	Marie	
0	-1	-1	0	0	37	36	2	0	1	0.0	f	0.375057050513	1	1	220	0	0	8	Marie	
0	-1	-1	0	0	38	37	2	0	2	1.0	j	0.418254111566	1	1	230	0	0	8	Marie	
0	-1	-1	0	0	39	38	2	0	3	1.0	j	0.374230519676	1	1	240	0	0	8	Marie	
0	-1	-1	0	0	40	39	2	0	4	0.0	f	0.377491419569	1	1	250	0	0	8	Marie	
0	-1	-1	0	0	41	40	2	0	5	1.0	j	0.348602611222	1	1	260	0	0	8	Marie	
0	-1	-1	0	0	42	41	2	0	6	1.0	j	0.415000267813	1	1	270	0	0	8	Marie	
0	-1	-1	0	0	43	42	2	0	7	0.0	f	0.475447351397	1	1	280	0	0	8	Marie	
0	-1	-1	0	0	44	43	2	0	8	1.0	j	0.41701319274	1	1	290	0	0	8	Marie	
0	-1	-1	0	0	45	44	2	0	9	0.0	f	0.405407763232	1	1	300	0	0	8	Marie	
0	-1	-1	0	0	46	45	2	0	10	1.0	j	0.577020197567	1	1	310	0	0	8	Marie	
0	-1	-1	0	0	47	46	2	0	11	0.0	f	0.376988188338	1	1	320	0	0	8	Marie	
0	-1	-1	0	0	48	47	2	0	12	1.0	j	0.467785022442	1	1	330	0	0	8	Marie	
0	-1	-1	0	0	49	48	2	0	13	1.0	j	0.456971805259	1	1	340	0	0	8	Marie	
0	-1	-1	0	0	50	49	2	0	14	1.0	j	0.349763025879	1	1	350	0	0	8	Marie	
0	-1	-1	0	0	51	50	2	0	15	1.0	j	0.447774444641	1	1	360	0	0	8	Marie	
0	-1	-1	0	0	52	51	2	0	16	1.0	j	0.34059388983	1	0	360	3	0	8	Marie	
0	-1	-1	0	0	53	52	2	0	17	1.0	f	0.390182853511	0	0	360	3	0	8	Marie	
0	-1	-1	0	0	54	53	2	0	18	0.0	f	0.585379160198	1	1	370	0	0	8	Marie	
0	-1	-1	0	0	55	54	2	0	19	0.0	f	0.281750795661	1	1	380	0	0	8	Marie	
0	-1	-1	0	0	56	55	2	0	20	1.0	f	0.354150342657	0	0	380	0	0	8	Marie	
0	-1	-1	0	0	57	56	2	0	21	1.0	j	0.340557005449	1	1	390	0	0	8	Marie	
